Invalid quoted string 'entry' encountered while parsing (tag "CFIF" with attributes (URL.mode=). 
Invalid quoted string 'entry' encountered while parsing (tag "CFIF" with attributes (URL.mode=). 
Invalid number "0" encountered while parsing (tag "CFIF" with attributes (Len(CGI.HTTP_REFERER)=). 
Invalid number "0" encountered while parsing (tag "CFIF" with attributes (Len(CGI.HTTP_REFERER)=). 
Invalid character (,) encountered while parsing (tag "CFIF" with attributes). 
Invalid character (,) encountered while parsing (tag "CFIF" with attributes). 
Invalid character (,) encountered while parsing (tag "CFIF" with attributes). 
Invalid quoted string 'URL.mode' encountered while parsing (tag "CFIF" with attributes (NOT=). 
Invalid quoted string 'URL.mode' encountered while parsing (tag "CFIF" with attributes (= (NOT=). 
Invalid quoted string 'URL.mode' encountered while parsing (tag "CFIF" with attributes (= (NOT=). 
Invalid quoted string 'URL.mode' encountered while parsing (tag "CFIF" with attributes (= (NOT=). 
Invalid quoted string 'URL.mode' encountered while parsing (tag "CFIF" with attributes (= (NOT=). 
Invalid quoted string 'URL.mode' encountered while parsing (tag "CFIF" with attributes (= (NOT=). 
Invalid quoted string 'URL.mode' encountered while parsing (tag "CFIF" with attributes (= (NOT=). 
Invalid quoted string 'URL.mode' encountered while parsing (tag "CFIF" with attributes (= (NOT=). 
Invalid quoted string 'URL.mode' encountered while parsing (tag "CFIF" with attributes (= (NOT=). 
Invalid quoted string 'URL.mode' encountered while parsing (tag "CFIF" with attributes (= (NOT=). 
Invalid quoted string 'URL.mode' encountered while parsing (tag "CFIF" with attributes (= (NOT=). 
Invalid quoted string 'URL.mode' encountered while parsing (tag "CFIF" with attributes (= (NOT=). 
Invalid quoted string 'URL.mode' encountered while parsing (tag "CFIF" with attributes (= (NOT=). 
Invalid quoted string 'URL.mode' encountered while parsing (tag "CFIF" with attributes (= (NOT=). 
Invalid quoted string 'URL.mode' encountered while parsing (tag "CFIF" with attributes (= (NOT=). 
